Full Association Rules (all consequents)
                                                                                                  antecedents                                                                                              consequents   support  confidence      lift
105                                                                      (fixed acidity_fixed acidity_medium)                                                                             (sulphates_sulphates_medium)  0.110694    0.330841  0.941308
106                                                                              (sulphates_sulphates_medium)                                                                     (fixed acidity_fixed acidity_medium)  0.110694    0.314947  0.941308
107                                                                      (fixed acidity_fixed acidity_medium)                                                                                    (alcohol_alcohol_low)  0.140713    0.420561  1.350355
108                                                                                     (alcohol_alcohol_low)                                                                     (fixed acidity_fixed acidity_medium)  0.140713    0.451807  1.350355
109                                                                      (fixed acidity_fixed acidity_medium)                                                                                 (alcohol_alcohol_medium)  0.103189    0.308411  0.908194
110                                                                                  (alcohol_alcohol_medium)                                                                     (fixed acidity_fixed acidity_medium)  0.103189    0.303867  0.908194
111                                                                      (fixed acidity_fixed acidity_medium)                                                                                              (quality_5)  0.161351    0.482243  1.132315
112                                                                                               (quality_5)                                                                     (fixed acidity_fixed acidity_medium)  0.161351    0.378855  1.132315
113                                                                      (fixed acidity_fixed acidity_medium)                                                                                              (quality_6)  0.125078    0.373832  0.936923
114                                                                                               (quality_6)                                                                     (fixed acidity_fixed acidity_medium)  0.125078    0.313480  0.936923
115                                                                  (volatile acidity_volatile acidity_high)                                                                            (citric acid_citric acid_low)  0.203877    0.591652  1.822834
116                                                                             (citric acid_citric acid_low)                                                                 (volatile acidity_volatile acidity_high)  0.203877    0.628131  1.822834
117                                                                  (volatile acidity_volatile acidity_high)                                                                         (citric acid_citric acid_medium)  0.110694    0.321234  0.939037
118                                                                          (citric acid_citric acid_medium)                                                                 (volatile acidity_volatile acidity_high)  0.110694    0.323583  0.939037
119                                                                  (volatile acidity_volatile acidity_high)                                                                     (residual sugar_residual sugar_high)  0.130707    0.379310  1.002508
120                                                                      (residual sugar_residual sugar_high)                                                                 (volatile acidity_volatile acidity_high)  0.130707    0.345455  1.002508
121                                                                       (residual sugar_residual sugar_low)                                                                 (volatile acidity_volatile acidity_high)  0.100063    0.344828  1.000688
122                                                                    (residual sugar_residual sugar_medium)                                                                 (volatile acidity_volatile acidity_high)  0.113821    0.343396  0.996535
123                                                                  (volatile acidity_volatile acidity_high)                                                                   (residual sugar_residual sugar_medium)  0.113821    0.330309  0.996535
124                                                                  (volatile acidity_volatile acidity_high)                                                                               (chlorides_chlorides_high)  0.141338    0.410163  1.181714
125                                                                                (chlorides_chlorides_high)                                                                 (volatile acidity_volatile acidity_high)  0.141338    0.407207  1.181714
126                                                                  (volatile acidity_volatile acidity_high)                                                                             (chlorides_chlorides_medium)  0.116323    0.337568  1.022294
127                                                                              (chlorides_chlorides_medium)                                                                 (volatile acidity_volatile acidity_high)  0.116323    0.352273  1.022294
128                                                                  (volatile acidity_volatile acidity_high)                                                           (free sulfur dioxide_free sulfur dioxide_high)  0.106316    0.308530  0.890504
129                                                            (free sulfur dioxide_free sulfur dioxide_high)                                                                 (volatile acidity_volatile acidity_high)  0.106316    0.306859  0.890504
130                                                                  (volatile acidity_volatile acidity_high)                                                            (free sulfur dioxide_free sulfur dioxide_low)  0.110694    0.321234  0.976527
131                                                             (free sulfur dioxide_free sulfur dioxide_low)                                                                 (volatile acidity_volatile acidity_high)  0.110694    0.336502  0.976527
132                                                                  (volatile acidity_volatile acidity_high)                                                         (free sulfur dioxide_free sulfur dioxide_medium)  0.127580    0.370236  1.140669
133                                                          (free sulfur dioxide_free sulfur dioxide_medium)                                                                 (volatile acidity_volatile acidity_high)  0.127580    0.393064  1.140669
134                                                          (total sulfur dioxide_total sulfur dioxide_high)                                                                 (volatile acidity_volatile acidity_high)  0.130707    0.390654  1.133677
135                                                                  (volatile acidity_volatile acidity_high)                                                         (total sulfur dioxide_total sulfur dioxide_high)  0.130707    0.379310  1.133677
136                                                                  (volatile acidity_volatile acidity_high)                                                          (total sulfur dioxide_total sulfur dioxide_low)  0.106316    0.308530  0.967332
137                                                           (total sulfur dioxide_total sulfur dioxide_low)                                                                 (volatile acidity_volatile acidity_high)  0.106316    0.333333  0.967332
138                                                        (total sulfur dioxide_total sulfur dioxide_medium)                                                                 (volatile acidity_volatile acidity_high)  0.107567    0.310469  0.900981
139                                                                  (volatile acidity_volatile acidity_high)                                                       (total sulfur dioxide_total sulfur dioxide_medium)  0.107567    0.312160  0.900981
140                                                                  (volatile acidity_volatile acidity_high)                                                                                   (density_density_high)  0.113821    0.330309  0.974471
141                                                                                    (density_density_high)                                                                 (volatile acidity_volatile acidity_high)  0.113821    0.335793  0.974471
142                                                                  (volatile acidity_volatile acidity_high)                                                                                 (density_density_medium)  0.135084    0.392015  1.191694
143                                                                                  (density_density_medium)                                                                 (volatile acidity_volatile acidity_high)  0.135084    0.410646  1.191694
144                                                                  (volatile acidity_volatile acidity_high)                                                                                             (pH_pH_high)  0.157598    0.457350  1.312932
145                                                                                              (pH_pH_high)                                                                 (volatile acidity_volatile acidity_high)  0.157598    0.452424  1.312932
146                                                                  (volatile acidity_volatile acidity_high)                                                                                           (pH_pH_medium)  0.108193    0.313975  0.969200
147                                                                                            (pH_pH_medium)                                                                 (volatile acidity_volatile acidity_high)  0.108193    0.333977  0.969200
148                                                                  (volatile acidity_volatile acidity_high)                                                                                (sulphates_sulphates_low)  0.150094    0.435572  1.450998
149                                                                                 (sulphates_sulphates_low)                                                                 (volatile acidity_volatile acidity_high)  0.150094    0.500000  1.450998
